index,customer_id,demand_whole_mtons,demand_mush_mtons,xlon,ylat,distance_km,distance_m
1,1,1005.159872,0,-116.162,33.6694,309.9715,309971.5
2,2,114.1600346,0,-122.273,49.0133,2024.5458,2024545.8
3,3,136.3395947,0,-75.5724,40.6156,4412.4377,4412437.7
4,4,255.1527575,0,-118.931,35.3543,197.2989,197298.9
5,5,37.08858491,0,-71.1478,42.3912,4902.8406,4902840.6
6,6,84.5041896,0,-83.48215308,42.30862058,3720.7712,3720771.2
7,7,2.601077965,0,-87.63559536,41.50618726,3334.6411,3334641.1
8,8,5.00765568,0,-84.51201889,39.10312638,3584.7608,3584760.8
9,9,9.807384787,0,-117.958671,34.01971518,128.4397,128439.7
10,10,160.4808496,0,-74.4094,40.4305,4534.2869,4534286.9
11,11,460.7772602,0,-73.437,40.7274,4642.1121,4642112.1
12,12,4.02789696,0,-122.585,48.8603,1993.6673,1993667.3
13,13,2.601077965,0,-122.3571357,47.23923872,1790.5095,1790509.5
14,14,450.5990185,0,-88.10995556,43.21723243,3413.9929,3413992.9
15,15,206.0033427,0,-117.584803,34.096242,160.2245,160224.5
16,16,5.852425421,0,-75.53948761,40.59790063,4412.2323,4412232.3
17,17,67.18604704,0,-119.901877,46.25107863,1684.1627,1684162.7
18,18,882.4792024,0,-73.7302,40.7893,4612.69,4612690
19,19,2.184499072,0,-117.3274336,33.66807224,208.5727,208572.7
20,20,539.8552194,0,-75.0167,40.1056,4470.2259,4470225.9
21,21,255.199931,0,-81.6971,33.823,3880.6493,3880649.3
22,22,3917.04089,0,-122.891,44.9679,1494.2484,1494248.4
23,23,1.310699443,0,-84.20310549,40.03962433,3609.7187,3609718.7
24,24,672.8696219,0,-115.14,36.2054,525.6989,525698.9
25,25,996.3231741,0,-85.2372,41.0846,3561.3432,3561343.2
26,26,0.076203456,0,-76.6736,39.2536,4328.9399,4328939.9
27,27,1072.546316,0,-97.35705809,32.77863913,2360.4212,2360421.2
28,28,2928.667913,0,-117.937,34.1019,126.0636,126063.6
29,29,337.3654003,0,-117.143,32.8945,277.1837,277183.7
30,30,1.300538982,0,-117.808,34.1067,136.1808,136180.8
31,31,1914.506054,0,-118.18,34,108.358,108358
32,32,588.4605052,0,-87.9649,42.2332,3352.2985,3352298.5
33,33,269.7602342,0,-81.62689739,41.31972631,3871.0601,3871060.1
34,34,92.09895261,0,-73.6766,40.7116,4618.1335,4618133.5
35,35,2088.60682,0,-80.2971,25.8398,4493.1638,4493163.8
36,36,12.39866516,0,-83.4862,42.3897,3723.4598,3723459.8
37,37,706.8385825,0,-78.16333456,39.18552138,4210.972,4210972
38,38,161.932344,0,-119.1752917,46.82608629,1808.5213,1808521.3
39,39,182.3291062,0,-118.175,33.9465,115.1883,115188.3
40,40,1.950808474,0,-117.5362766,47.67298834,1945.3828,1945382.8
41,41,337.9078963,0,-81.53651403,39.96978526,3828.4414,3828441.4
42,42,79.68413957,0,-71.05369931,42.40838264,4909.6276,4909627.6
43,43,2.6988724,0,-122.9907177,45.4053423,1551.3394,1551339.4
44,44,181.1465011,0,-80.32560611,27.44685354,4310.5423,4310542.3
45,45,83.60607744,0,-86.1295,42.7949,3552.5876,3552587.6
46,46,21637.50711,0,-119.1797655,34.23303062,5.2493,5249.3
47,47,83.60607744,0,-71.20763167,46.81319372,4939.6963,4939696.3
48,48,676.113349,0,-93.9236,41.8784,2810.6438,2810643.8
49,49,3.632364736,0,-117.8132576,33.88849852,150.4236,150423.6
50,50,26633.11513,0,-82.0222,39.9437,3782.9445,3782944.5
51,51,135038.2736,0,-119.149,34.2057,2.6114,2611.4
52,52,2261.415937,0,-88.2868,41.8637,3279.6994,3279699.4
53,53,428.6807274,0,-93.1575,44.8544,3149.3748,3149374.8
54,54,79.03387008,0,-84.56042017,39.34556171,3581.544,3581544
55,55,3688.992976,0,-122.423,45.5431,1580.6229,1580622.9
56,56,74.35280064,0,-98.3869,40.9024,2365.9719,2365971.9
57,57,0.002721552,0,-94.5825,39.0385,2695.8845,2695884.5
58,58,12.9328151,0,-82.0858,30.2963,3948.8037,3948803.7
59,59,350.6447597,0,-116.565,43.5879,1358.1006,1358100.6
60,60,3.269128262,0,-117.163,33.5302,232.3621,232362.1
61,61,1289.476781,0,-118.2616053,33.74284213,133.1762,133176.2
62,62,26.41719808,0,-122.3044979,49.05042125,2022.2792,2022279.2
63,63,2.377547827,0,-97.1342,34.1386,2314.2703,2314270.3
64,64,164.2946511,0,-93.36867918,43.64781274,3060.5504,3060550.4
65,65,325.6519312,0,-106.715,35.0809,1346.456,1346456
66,66,43.10938368,0,-122.248,47.2917,1804.1672,1804167.2
67,67,10.58139418,0,-81.9545,27.045,4329.7752,4329775.2
68,68,29.1625183,0,-97.1342,34.1386,2314.2703,2314270.3
69,69,263.9078088,0,-77.4568,37.7637,4310.204,4310204
70,70,1076.171877,0,-84.335,33.7611,3594.9494,3594949.4
71,71,24.00408864,0,-85.05887241,41.36700936,3611.7393,3611739.3
72,72,282.5420939,0,-88.8191,43.4971,3326.3721,3326372.1
73,73,42.81545606,0,-94.2102276,36.37237481,2586.7323,2586732.3
74,74,190.2675105,0,-85.1502,39.8479,3505.3048,3505304.8
75,75,325.489636,0,-121.743,36.7583,427.6379,427637.9
76,76,5169.166183,0,-92.442,42.484,2967.9923,2967992.3
77,77,18.08471304,0,-85.197,35.055,3530.9802,3530980.2
78,78,122.8290849,0,-104.895,41.1207,1854.2271,1854227.1
79,79,9037.109912,0,-87.6708,41.8491,3333.3169,3333316.9
80,80,796.0866186,0,-72.6168,42.1274,4757.6994,4757699.4
81,81,1972.695195,0,-86.5834,32.8124,3441.517,3441517
82,82,29.01174432,0,-112.0261155,41.11082937,1238.7935,1238793.5
83,83,38.65964616,0,-83.7607,34.593,3706.2414,3706241.4
84,84,621.6841234,0,-119.7029548,36.82529402,369.5438,369543.8
85,85,7262.333236,0,-117.314,34.055,188.4198,188419.8
86,86,682.9693921,0,-118.223,33.8475,121.6629,121662.9
87,87,38.00647368,0,-84.0221,33.672,3626.3985,3626398.5
88,88,11.5611529,0,-88.536,34.9225,3128.9567,3128956.7
89,89,334.2501304,0,-123.294,44.5041,1448.4781,1448478.1
90,90,615.6803796,0,-78.7265,36.1581,4181.4639,4181463.9
91,91,1398.978516,0,-96.8949,32.8199,2408.2223,2408222.3
