index,warehouse_id,customer_id,distance_km
104,1,104,3037.6398
105,1,105,197.2553
106,1,106,3135.1629
107,1,107,4569.8067
108,1,108,1527.5926
109,1,109,525.6989
110,1,110,2319.0657
111,1,111,3680.9696
112,1,112,4451.7378
113,1,113,4295.9482
114,1,114,3893.884
115,1,115,197.8286
116,1,116,3106.3952
117,1,117,3072.4679
118,1,118,4550.0249
119,1,119,3149.3748
120,1,120,3993.6679
121,1,121,2462.0822
122,1,122,3763.1169
123,1,123,4432.6372
124,1,124,881.967
125,1,125,109.6966
126,1,126,3335.9331
127,1,127,3667.0349
128,1,128,515.1373
129,1,129,2437.5739
130,1,130,2285.771
131,1,131,3371.1306
132,1,132,2329.7436
133,1,133,1736.4646
134,1,134,2684.9792
135,1,135,3320.8673
136,1,136,3365.1809
137,1,137,3409.6375
138,1,138,1252.4523
139,1,139,689.7463
140,1,140,114.8348
141,1,141,2285.771
142,1,142,558.1286
143,1,143,155.5703
144,1,144,74.0403
145,1,145,104.4417
146,1,146,3702.5159
147,1,147,574.5576
148,1,148,2807.4567
149,1,149,3916.3372
150,1,150,1383.9839
151,1,151,2368.4591
152,1,152,2645.4498
153,1,153,4219.817
154,1,154,3908.0629
155,1,155,3052.7887
156,1,156,4566.978
157,1,157,3903.4861
158,1,158,4393.0271
159,1,159,129.5348
160,1,160,100.0166
161,1,161,1558.2876
162,1,162,3147.5002
163,1,163,2032.9722
164,1,164,509.7682
165,1,165,3216.6123
166,1,166,155.479
167,1,167,4141.4476
168,1,168,4269.0996
169,1,169,1575.9853
170,1,170,165.3033
171,1,171,165.3033
172,1,172,3352.6516
173,1,173,4527.775
174,1,174,3862.5798
175,1,175,4503.4091
176,1,176,3573.607
177,1,177,3703.6529
178,1,178,444.8974
179,1,179,4212.7432
180,1,180,2312.5714
181,1,181,3339.2454
182,1,182,1493.0087
183,1,183,3092.3079
184,1,184,362.7594
185,1,185,4279.4088
186,1,186,3368.0873
187,1,187,3094.3878
188,1,188,2596.1927
189,1,189,104.4121
190,1,190,3445.6377
191,1,191,1799.6463
192,1,192,1876.35
193,1,193,3665.2666
194,1,194,3278.3724
195,1,195,3122.7219
196,1,196,3117.9717
197,1,197,4394.3977
198,1,198,3052.1003
199,1,199,1960.9921
200,1,200,2679.9405
201,1,201,2674.3638
202,1,202,3146.1276
203,1,203,3886.4088
204,1,204,2038.7578
205,1,205,4469.6419
206,1,206,4388.6785
207,1,207,1609.7878
208,1,208,4844.5303
209,1,209,126.0636
210,1,210,394.2732
211,1,211,1485.0597
212,1,212,1575.8173
213,1,213,5.2493
214,1,214,3039.8147
215,1,215,3026.3578
216,1,216,15.7784
217,1,217,2483.3692
218,1,218,138.8566
219,1,219,4269.0167
220,1,220,117.6453
221,1,221,4283.0542
222,1,222,4628.6824
223,1,223,1681.8458
224,1,224,1742.4431
225,1,225,1687.0606
226,1,226,3371.6798
227,1,227,3379.5974
228,1,228,3687.8775
229,1,229,2995.8916
230,1,230,108.6139
231,1,231,104.4675
232,1,232,3859.9417
233,1,233,444.8974
234,1,234,442.9398
235,1,235,1.9813
236,1,236,4170.9657
237,1,237,102.5999
238,1,238,164.0903
239,1,239,3378.0712
240,1,240,3330.1511
241,1,241,4319.9351
242,1,242,1978.848
243,1,243,3607.3295
244,1,244,3826.2588
245,1,245,3406.1411
246,1,246,3470.7963
247,1,247,4178.4736
248,1,248,4337.0524
249,1,249,1781.1974
250,1,250,3257.0361
251,1,251,4225.4942
252,1,252,3401.6426
253,1,253,2922.193
254,1,254,3335.6162
255,1,255,4565.4988
256,1,256,183.2433
257,1,257,4382.9594
258,1,258,1490.2576
259,1,259,1543.8726
260,1,260,3700.2987
261,1,261,579.9134
262,1,262,4225.4942
263,1,263,4459.5621
264,1,264,3253.5085
265,1,265,3583.2914
266,1,266,123.9032
267,1,267,3865.5493
268,1,268,172.7375
269,1,269,3319.8074
270,1,270,2330.015
271,1,271,3140.1639
272,1,272,3444.6651
273,1,273,277.1837
274,1,274,351.236
275,1,275,2362.2956
276,1,276,4126.3626
277,1,277,4168.111
278,1,278,3175.9302
279,1,279,1169.3073
280,1,280,71.871
281,1,281,3321.525
282,1,282,543.8234
283,1,283,3194.1235
284,1,284,3980.6234
285,1,285,3433.1561
286,1,286,96.3476
287,1,287,4558.8132
288,1,288,4120.747
289,1,289,3456.2204
290,1,290,4443.5214
291,1,291,3140.2498
292,1,292,3461.9776
293,1,293,3452.3204
294,1,294,4569.6195
295,1,295,4434.6464
296,1,296,3352.6804
297,1,297,1194.3388
298,1,298,123.9208
299,1,299,4168.445
300,1,300,4101.8457
